plate,genus,receptor,treat_type,treat_subtype,treat,treat_name,dose_type,dose_rank,log10_dose,dose,replicate,fold_act,max_e2,adj_max_e2
1,Gorilla,beta,diet,biscuit,5m6c,Insectivore Diets,extract_mg_ml,3,0,1,3,0.8126896550474425,90.91470187795781,-20.954203199528948
1,Gorilla,beta,diet,biscuit,5m6c,Insectivore Diets,extract_mg_ml,4,0.3010299956639812,2,1,0.9785379310528518,109.46796692367175,-2.400938153815005
1,Gorilla,beta,diet,biscuit,5m6c,Insectivore Diets,extract_mg_ml,4,0.3010299956639812,2,2,0.9468413792502339,105.92210837878106,-5.946796698705697
1,Gorilla,beta,diet,biscuit,5m6c,Insectivore Diets,extract_mg_ml,4,0.3010299956639812,2,3,0.8905655170738473,99.62658929481715,-12.242315782669607
1,Gorilla,beta,diet,biscuit,5m02,Leaf-Eater Primate Diet,extract_mg_ml,1,-0.6989700043360187,0.2,1,0.9794482758540165,109.56980619982104,-2.2990988776657133
1,Gorilla,beta,diet,biscuit,5m02,Leaf-Eater Primate Diet,extract_mg_ml,1,-0.6989700043360187,0.2,2,0.9047999999906767,101.21898531306704,-10.649919764419721
1,Gorilla,beta,diet,biscuit,5m02,Leaf-Eater Primate Diet,extract_mg_ml,1,-0.6989700043360187,0.2,3,0.9039724140844245,101.12640418387704,-10.742500893609716
1,Gorilla,beta,diet,biscuit,5m02,Leaf-Eater Primate Diet,extract_mg_ml,2,-0.3010299956639812,0.5,1,0.9105103446592953,101.85779531876045,-10.011109758726306
1,Gorilla,beta,diet,biscuit,5m02,Leaf-Eater Primate Diet,extract_mg_ml,2,-0.3010299956639812,0.5,2,0.8740965516096594,97.7842241605795,-14.08468091690726
1,Gorilla,beta,diet,biscuit,5m02,Leaf-Eater Primate Diet,extract_mg_ml,2,-0.3010299956639812,0.5,3,0.9019862070494914,100.90420937762188,-10.964695699864876
1,Gorilla,beta,diet,biscuit,5m02,Leaf-Eater Primate Diet,extract_mg_ml,3,0,1,1,0.9796965516857141,109.59758054527025,-2.2713245322165108
1,Gorilla,beta,diet,biscuit,5m02,Leaf-Eater Primate Diet,extract_mg_ml,3,0,1,2,0.8426482757512366,94.26613997372297,-17.602765103763787
1,Gorilla,beta,diet,biscuit,5m02,Leaf-Eater Primate Diet,extract_mg_ml,3,0,1,3,0.8620137929632206,96.43253918048684,-15.436365896999916
1,Gorilla,beta,diet,biscuit,5m02,Leaf-Eater Primate Diet,extract_mg_ml,4,0.3010299956639812,2,1,0.8999999998872118,100.6820145571206,-11.186890520366163
1,Gorilla,beta,diet,biscuit,5m02,Leaf-Eater Primate Diet,extract_mg_ml,4,0.3010299956639812,2,2,0.9565241378656866,107.00530798322134,-4.863597094265415
1,Gorilla,beta,diet,biscuit,5m02,Leaf-Eater Primate Diet,extract_mg_ml,4,0.3010299956639812,2,3,0.8585379310764677,96.04369831701524,-15.825206760471517
2,Xanthonycticebus,beta,standard,estrogen,e2,Estradiol (Endogenous estrogen),molar_M,3,-10,1e-10,1,1.2922201685960977,53.498449867022224,12.098035938222182
2,Xanthonycticebus,beta,standard,estrogen,e2,Estradiol (Endogenous estrogen),molar_M,3,-10,1e-10,2,1.435852183385164,59.44487473271711,18.04446080391707
2,Xanthonycticebus,beta,standard,estrogen,e2,Estradiol (Endogenous estrogen),molar_M,3,-10,1e-10,3,1.190025854838467,49.267562976286655,7.867149047486613
2,Xanthonycticebus,beta,standard,estrogen,e2,Estradiol (Endogenous estrogen),molar_M,4,-9,1e-9,1,2.4021914524362162,99.45172046708475,58.05130653828471
2,Xanthonycticebus,beta,standard,estrogen,e2,Estradiol (Endogenous estrogen),molar_M,4,-9,1e-9,2,2.290177070762429,94.81427869981137,53.413864771011326
2,Xanthonycticebus,beta,standard,estrogen,e2,Estradiol (Endogenous estrogen),molar_M,4,-9,1e-9,3,2.553935837814182,105.73400083310389,64.33358690430384
2,Xanthonycticebus,beta,standard,estrogen,e2,Estradiol (Endogenous estrogen),molar_M,5,-8,1e-8,1,50.363232433822226,2085.058669552608,2043.6582556238081
2,Xanthonycticebus,beta,standard,estrogen,e2,Estradiol (Endogenous estrogen),molar_M,5,-8,1e-8,2,53.38948259069063,2210.346678699056,2168.946264770256
2,Xanthonycticebus,beta,standard,estrogen,e2,Estradiol (Endogenous estrogen),molar_M,5,-8,1e-8,3,52.77185539828755,2184.7766572798855,2143.3762433510856
2,Xanthonycticebus,beta,standard,estrogen,e2,Estradiol (Endogenous estrogen),molar_M,6,-7,1e-7,1,183.2867480972011,7588.147238887831,7546.746824959031
2,Xanthonycticebus,beta,standard,estrogen,e2,Estradiol (Endogenous estrogen),molar_M,6,-7,1e-7,2,195.57779941613234,8097.001851111708,8055.601437182908
2,Xanthonycticebus,beta,standard,estrogen,e2,Estradiol (Endogenous estrogen),molar_M,6,-7,1e-7,3,195.56394433769356,8096.428245129326,8055.027831200526
2,Xanthonycticebus,beta,standard,estrogen,e2,Estradiol (Endogenous estrogen),molar_M,7,-6,1e-6,1,198.52564741522562,8219.043978473353,8177.643564544554
2,Xanthonycticebus,beta,standard,estrogen,e2,Estradiol (Endogenous estrogen),molar_M,7,-6,1e-6,2,203.04323344983777,8406.073910265262,8364.673496336462
2,Xanthonycticebus,beta,standard,estrogen,e2,Estradiol (Endogenous estrogen),molar_M,7,-6,1e-6,3,210.36542916873046,8709.215843895108,8667.815429966307
2,Xanthonycticebus,beta,standard,estrogen,e2,Estradiol (Endogenous estrogen),molar_M,8,-5,1e-5,1,159.01828893066553,6583.422983979077,6542.022570050277
2,Xanthonycticebus,beta,standard,estrogen,e2,Estradiol (Endogenous estrogen),molar_M,8,-5,1e-5,2,192.68107972125978,7977.076456708276,7935.676042779476
2,Xanthonycticebus,beta,standard,estrogen,e2,Estradiol (Endogenous estrogen),molar_M,8,-5,1e-5,3,174.50477425525315,7224.569886719291,7183.1694727904915
2,Xanthonycticebus,beta,diet,biscuit,5m1s,Primate LS Biscuit Large,extract_mg_ml,1,-0.6989700043360187,0.2,1,1.0693459245075303,44.271363907687125,2.870949978887083
2,Xanthonycticebus,beta,diet,biscuit,5m1s,Primate LS Biscuit Large,extract_mg_ml,1,-0.6989700043360187,0.2,2,0.9875886959165625,40.886580802349535,-0.5138331264505069
2,Xanthonycticebus,beta,diet,biscuit,5m1s,Primate LS Biscuit Large,extract_mg_ml,1,-0.6989700043360187,0.2,3,0.9579344013900936,39.65888073418717,-1.7415331946128703
2,Xanthonycticebus,beta,diet,biscuit,5m1s,Primate LS Biscuit Large,extract_mg_ml,2,-0.3010299956639812,0.5,1,1.3528018661912773,56.00655722397205,14.60614329517201
2,Xanthonycticebus,beta,diet,biscuit,5m1s,Primate LS Biscuit Large,extract_mg_ml,2,-0.3010299956639812,0.5,2,1.3925855781043655,57.65361936479804,16.253205435997998
2,Xanthonycticebus,beta,diet,biscuit,5m1s,Primate LS Biscuit Large,extract_mg_ml,2,-0.3010299956639812,0.5,3,1.1145691291861135,46.14362330056731,4.743209371767271
2,Xanthonycticebus,beta,diet,biscuit,5m1s,Primate LS Biscuit Large,extract_mg_ml,3,0,1,1,1.4457521315406388,59.85473668422742,18.454322755427377
2,Xanthonycticebus,beta,diet,biscuit,5m1s,Primate LS Biscuit Large,extract_mg_ml,3,0,1,2,1.1667182088002006,48.302616782596466,6.902202853796425
2,Xanthonycticebus,beta,diet,biscuit,5m1s,Primate LS Biscuit Large,extract_mg_ml,3,0,1,3,1.6560984750946923,68.56316237577482,27.16274844697478
2,Xanthonycticebus,beta,diet,biscuit,5m1s,Primate LS Biscuit Large,extract_mg_ml,4,0.3010299956639812,2,1,1.9995569653678897,82.78248604044593,41.38207211164589
2,Xanthonycticebus,beta,diet,biscuit,5m1s,Primate LS Biscuit Large,extract_mg_ml,4,0.3010299956639812,2,2,1.8633060893113562,77.14164337354383,35.74122944474379
2,Xanthonycticebus,beta,diet,biscuit,5m1s,Primate LS Biscuit Large,extract_mg_ml,4,0.3010299956639812,2,3,1.6993765936142988,70.3548943965462,28.95448046774616
2,Xanthonycticebus,beta,diet,biscuit,5ma4,Primate Browse Biscuit,extract_mg_ml,1,-0.6989700043360187,0.2,1,1.180432741636227,48.87040411884808,7.469990190048037
2,Xanthonycticebus,beta,diet,biscuit,5ma4,Primate Browse Biscuit,extract_mg_ml,1,-0.6989700043360187,0.2,2,1.090465755038741,45.145733633785355,3.745319704985313
2,Xanthonycticebus,beta,diet,biscuit,5ma4,Primate Browse Biscuit,extract_mg_ml,1,-0.6989700043360187,0.2,3,1.280893514017014,53.029521679019624,11.629107750219582
2,Xanthonycticebus,beta,diet,biscuit,5ma4,Primate Browse Biscuit,extract_mg_ml,2,-0.3010299956639812,0.5,1,2.021405643382458,83.68703035404614,42.2866164252461
2,Xanthonycticebus,beta,diet,biscuit,5ma4,Primate Browse Biscuit,extract_mg_ml,2,-0.3010299956639812,0.5,2,1.3669913931902167,56.59400951518203,15.193595586381988
2,Xanthonycticebus,beta,diet,biscuit,5ma4,Primate Browse Biscuit,extract_mg_ml,2,-0.3010299956639812,0.5,3,1.2171015051264462,50.38850610560043,8.988092176800386
2,Xanthonycticebus,beta,diet,biscuit,5ma4,Primate Browse Biscuit,extract_mg_ml,3,0,1,1,2.4755361184578453,102.48821999984979,61.08780607104975
2,Xanthonycticebus,beta,diet,biscuit,5ma4,Primate Browse Biscuit,extract_mg_ml,3,0,1,2,1.9249853939180555,79.6951921151017,38.29477818630166
2,Xanthonycticebus,beta,diet,biscuit,5ma4,Primate Browse Biscuit,extract_mg_ml,3,0,1,3,1.8816344010470782,77.9004430660188,36.50002913721875
2,Xanthonycticebus,beta,diet,biscuit,5ma4,Primate Browse Biscuit,extract_mg_ml,4,0.3010299956639812,2,1,4.726740232195923,195.68900214682367,154.28858821802362
2,Xanthonycticebus,beta,diet,biscuit,5ma4,Primate Browse Biscuit,extract_mg_ml,4,0.3010299956639812,2,2,3.872322064799933,160.3157363483429,118.91532241954286
2,Xanthonycticebus,beta,diet,biscuit,5ma4,Primate Browse Biscuit,extract_mg_ml,4,0.3010299956639812,2,3,4.071875350652514,168.5773249834919,127.17691105469186
2,Xanthonycticebus,beta,diet,biscuit,5m1g,Primate LS Biscuit - Small,extract_mg_ml,1,-0.6989700043360187,0.2,1,1.2546133569048723,51.94151229646307,10.541098367663025
2,Xanthonycticebus,beta,diet,biscuit,5m1g,Primate LS Biscuit - Small,extract_mg_ml,1,-0.6989700043360187,0.2,2,1.1915544434801473,49.33084717877908,7.930433249979039
2,Xanthonycticebus,beta,diet,biscuit,5m1g,Primate LS Biscuit - Small,extract_mg_ml,1,-0.6989700043360187,0.2,3,1.252674336817692,51.86123606223754,10.460822133437496
2,Xanthonycticebus,beta,diet,biscuit,5m1g,Primate LS Biscuit - Small,extract_mg_ml,2,-0.3010299956639812,0.5,1,1.2578289073240978,52.074637414827926,10.674223486027884
2,Xanthonycticebus,beta,diet,biscuit,5m1g,Primate LS Biscuit - Small,extract_mg_ml,2,-0.3010299956639812,0.5,2,1.048539730023425,43.40997884376204,2.0095649149619987
2,Xanthonycticebus,beta,diet,biscuit,5m1g,Primate LS Biscuit - Small,extract_mg_ml,2,-0.3010299956639812,0.5,3,1.1820771327514497,48.93848259167914,7.538068662879098
2,Xanthonycticebus,beta,diet,biscuit,5m1g,Primate LS Biscuit - Small,extract_mg_ml,3,0,1,1,1.5776426161048585,65.31505733845613,23.914643409656087
2,Xanthonycticebus,beta,diet,biscuit,5m1g,Primate LS Biscuit - Small,extract_mg_ml,3,0,1,2,1.3603567806272499,56.31933380881799,14.918919880017945
2,Xanthonycticebus,beta,diet,biscuit,5m1g,Primate LS Biscuit - Small,extract_mg_ml,3,0,1,3,1.1908889224484585,49.30329433258884,7.902880403788799
2,Xanthonycticebus,beta,diet,biscuit,5m1g,Primate LS Biscuit - Small,extract_mg_ml,4,0.3010299956639812,2,1,1.9160926055340146,79.3270269950212,37.92661306622116
2,Xanthonycticebus,beta,diet,biscuit,5m1g,Primate LS Biscuit - Small,extract_mg_ml,4,0.3010299956639812,2,2,2.1714118347869906,89.8973487700766,48.49693484127656
2,Xanthonycticebus,beta,diet,biscuit,5m1g,Primate LS Biscuit - Small,extract_mg_ml,4,0.3010299956639812,2,3,1.9407017168188767,80.34585438863438,38.94544045983434
2,Xanthonycticebus,beta,diet,biscuit,5ma3,Primate High Fiber Sticks,extract_mg_ml,1,-0.6989700043360187,0.2,1,1.157435281023692,47.91829973017786,6.517885801377815
2,Xanthonycticebus,beta,diet,biscuit,5ma3,Primate High Fiber Sticks,extract_mg_ml,1,-0.6989700043360187,0.2,2,1.1457214610987667,47.433342736598526,6.032928807798484
2,Xanthonycticebus,beta,diet,biscuit,5ma3,Primate High Fiber Sticks,extract_mg_ml,1,-0.6989700043360187,0.2,3,1.04741849702037,43.363559333324936,1.9631454045248944
2,Xanthonycticebus,beta,diet,biscuit,5ma3,Primate High Fiber Sticks,extract_mg_ml,2,-0.3010299956639812,0.5,1,1.2323062344316145,51.01798819250975,9.617574263709706
2,Xanthonycticebus,beta,diet,biscuit,5ma3,Primate High Fiber Sticks,extract_mg_ml,2,-0.3010299956639812,0.5,2,1.266763734749112,52.44454296860591,11.044129039805867
2,Xanthonycticebus,beta,diet,biscuit,5ma3,Primate High Fiber Sticks,extract_mg_ml,2,-0.3010299956639812,0.5,3,1.330658490542719,55.08981230634083,13.68939837754079
2,Xanthonycticebus,beta,diet,biscuit,5ma3,Primate High Fiber Sticks,extract_mg_ml,3,0,1,1,1.507259679408107,62.40117462568608,21.00076069688604
2,Xanthonycticebus,beta,diet,biscuit,5ma3,Primate High Fiber Sticks,extract_mg_ml,3,0,1,2,1.4884533911911475,61.62258650903966,20.222172580239615
2,Xanthonycticebus,beta,diet,biscuit,5ma3,Primate High Fiber Sticks,extract_mg_ml,3,0,1,3,1.7284681455841497,71.55929668992923,30.158882761129185
2,Xanthonycticebus,beta,diet,biscuit,5ma3,Primate High Fiber Sticks,extract_mg_ml,4,0.3010299956639812,2,1,3.5064912773613557,145.17019032048694,103.76977639168689
2,Xanthonycticebus,beta,diet,biscuit,5ma3,Primate High Fiber Sticks,extract_mg_ml,4,0.3010299956639812,2,2,3.1138226540153178,128.91354677710888,87.51313284830883
2,Xanthonycticebus,beta,diet,biscuit,5ma3,Primate High Fiber Sticks,extract_mg_ml,4,0.3010299956639812,2,3,2.2766817880929207,94.25556841120756,52.85515448240752
2,Xanthonycticebus,beta,diet,biscuit,5m6c,Insectivore Diets,extract_mg_ml,1,-0.6989700043360187,0.2,1,1.1922482209403409,49.35956985280557,7.959155924005529
