date,receptor,genus,treat_type,treat_subtype,treat,treat_name,dose_type,dose,replicate,fold_act,n_doses
2022-08-04,beta,Xanthonycticebus,diet,biscuit,mazuri_5ma3,Primate High Fiber Sticks,extract_mg_ml,0.2,1,1.1436047973188543,8
2022-08-04,beta,Xanthonycticebus,diet,biscuit,mazuri_5ma3,Primate High Fiber Sticks,extract_mg_ml,0.2,2,1.1320309487584184,8
2022-08-04,beta,Xanthonycticebus,diet,biscuit,mazuri_5ma3,Primate High Fiber Sticks,extract_mg_ml,0.2,3,1.0349026313882341,8
2022-08-04,beta,Xanthonycticebus,diet,biscuit,mazuri_5ma3,Primate High Fiber Sticks,extract_mg_ml,0.5,1,1.217581098975572,8
2022-08-04,beta,Xanthonycticebus,diet,biscuit,mazuri_5ma3,Primate High Fiber Sticks,extract_mg_ml,0.5,2,1.2516268580022485,8
2022-08-04,beta,Xanthonycticebus,diet,biscuit,mazuri_5ma3,Primate High Fiber Sticks,extract_mg_ml,0.5,3,1.3147581193756348,8
2022-08-04,beta,Xanthonycticebus,diet,biscuit,mazuri_5ma3,Primate High Fiber Sticks,extract_mg_ml,1,1,1.4892490564585668,8
2022-08-04,beta,Xanthonycticebus,diet,biscuit,mazuri_5ma3,Primate High Fiber Sticks,extract_mg_ml,1,2,1.4706674892838958,8
2022-08-04,beta,Xanthonycticebus,diet,biscuit,mazuri_5ma3,Primate High Fiber Sticks,extract_mg_ml,1,3,1.7078142473370792,8
2022-08-04,beta,Xanthonycticebus,diet,biscuit,mazuri_5ma3,Primate High Fiber Sticks,extract_mg_ml,2,1,3.4645913359410376,8
2022-08-04,beta,Xanthonycticebus,diet,biscuit,mazuri_5ma3,Primate High Fiber Sticks,extract_mg_ml,2,2,3.076614808201231,8
2022-08-04,beta,Xanthonycticebus,diet,biscuit,mazuri_5ma3,Primate High Fiber Sticks,extract_mg_ml,2,3,2.2494771478961306,8
2022-08-04,beta,Xanthonycticebus,diet,biscuit,mazuri_5m6c,Insectivore Diets,extract_mg_ml,0.2,1,1.1780017487079988,8
2022-08-04,beta,Xanthonycticebus,diet,biscuit,mazuri_5m6c,Insectivore Diets,extract_mg_ml,0.2,2,0.982339287102621,8
2022-08-04,beta,Xanthonycticebus,diet,biscuit,mazuri_5m6c,Insectivore Diets,extract_mg_ml,0.2,3,0.7912571847684392,8
2022-08-04,beta,Xanthonycticebus,diet,biscuit,mazuri_5m6c,Insectivore Diets,extract_mg_ml,0.5,1,1.155049222156571,8
2022-08-04,beta,Xanthonycticebus,diet,biscuit,mazuri_5m6c,Insectivore Diets,extract_mg_ml,0.5,2,1.1857749336617474,8
2022-08-04,beta,Xanthonycticebus,diet,biscuit,mazuri_5m6c,Insectivore Diets,extract_mg_ml,0.5,3,1.1457097003721242,8
2022-08-04,beta,Xanthonycticebus,diet,biscuit,mazuri_5m6c,Insectivore Diets,extract_mg_ml,1,1,1.3632969942215734,8
2022-08-04,beta,Xanthonycticebus,diet,biscuit,mazuri_5m6c,Insectivore Diets,extract_mg_ml,1,2,1.276837068679636,8
2022-08-04,beta,Xanthonycticebus,diet,biscuit,mazuri_5m6c,Insectivore Diets,extract_mg_ml,1,3,1.343182709230986,8
2022-08-04,beta,Xanthonycticebus,diet,biscuit,mazuri_5m6c,Insectivore Diets,extract_mg_ml,2,1,2.104902325251057,8
2022-08-04,beta,Xanthonycticebus,diet,biscuit,mazuri_5m6c,Insectivore Diets,extract_mg_ml,2,2,1.53323415459395,8
2022-08-04,beta,Xanthonycticebus,diet,biscuit,mazuri_5m6c,Insectivore Diets,extract_mg_ml,2,3,1.9128469570357123,8
