plate,subj,genus,receptor,model,treat_type,treat_subtype,treat,treat_name,treat_desc,log10_dose,dose,replicate,fold_act,perc_e2,perc_e2_Dmax
1,gorilla,Gorilla,beta,gorilla_beta,diet,biscuit,5m02,Mazuri<sup>®</sup> Leaf-Eater Primate Diet,Commercial Diet (Biscuit),-0.3010299956639812,0.5,1,32.788817354863625,58.647058372129436,41.736924880846864
1,gorilla,Gorilla,beta,gorilla_beta,diet,biscuit,5m02,Mazuri<sup>®</sup> Leaf-Eater Primate Diet,Commercial Diet (Biscuit),-0.3010299956639812,0.5,2,29.180765292836238,52.19358865404536,37.14423108987411
1,gorilla,Gorilla,beta,gorilla_beta,diet,biscuit,5m02,Mazuri<sup>®</sup> Leaf-Eater Primate Diet,Commercial Diet (Biscuit),-0.3010299956639812,0.5,3,27.667929943817636,49.487686148898916,35.2185411622466
1,gorilla,Gorilla,beta,gorilla_beta,diet,biscuit,5m02,Mazuri<sup>®</sup> Leaf-Eater Primate Diet,Commercial Diet (Biscuit),0,1,1,41.124121454203866,73.55583232310411,52.3469434517538
1,gorilla,Gorilla,beta,gorilla_beta,diet,biscuit,5m02,Mazuri<sup>®</sup> Leaf-Eater Primate Diet,Commercial Diet (Biscuit),0,1,2,37.49329196074631,67.061622210629,47.72525624103398
1,gorilla,Gorilla,beta,gorilla_beta,diet,biscuit,5m02,Mazuri<sup>®</sup> Leaf-Eater Primate Diet,Commercial Diet (Biscuit),0,1,3,41.156706624868434,73.6141151329215,52.388421154518674
1,gorilla,Gorilla,beta,gorilla_beta,diet,biscuit,5m02,Mazuri<sup>®</sup> Leaf-Eater Primate Diet,Commercial Diet (Biscuit),0.3010299956639812,2,1,51.40007940069034,91.93571772716692,65.42722262893582
1,gorilla,Gorilla,beta,gorilla_beta,diet,biscuit,5m02,Mazuri<sup>®</sup> Leaf-Eater Primate Diet,Commercial Diet (Biscuit),0.3010299956639812,2,2,48.75661230551691,87.20753350028313,62.06235019751589
1,gorilla,Gorilla,beta,gorilla_beta,diet,biscuit,5m02,Mazuri<sup>®</sup> Leaf-Eater Primate Diet,Commercial Diet (Biscuit),0.3010299956639812,2,3,52.886438801925024,94.59426456106922,67.31921129092002
2,loris,Xanthonycticebus,beta,loris_beta,standard,estrogen,e2,Estradiol,Endogenous estrogen,-10,1e-10,1,1.2922201685960977,53.498449867022224,0.6789857876137255
2,loris,Xanthonycticebus,beta,loris_beta,standard,estrogen,e2,Estradiol,Endogenous estrogen,-10,1e-10,2,1.435852183385164,59.44487473271711,0.7544559737771664
2,loris,Xanthonycticebus,beta,loris_beta,standard,estrogen,e2,Estradiol,Endogenous estrogen,-10,1e-10,3,1.190025854838467,49.267562976286655,0.6252886791002789
2,loris,Xanthonycticebus,beta,loris_beta,standard,estrogen,e2,Estradiol,Endogenous estrogen,-9,1e-9,1,2.4021914524362162,99.45172046708475,1.2622104924297721
2,loris,Xanthonycticebus,beta,loris_beta,standard,estrogen,e2,Estradiol,Endogenous estrogen,-9,1e-9,2,2.290177070762429,94.81427869981137,1.203353515102549
2,loris,Xanthonycticebus,beta,loris_beta,standard,estrogen,e2,Estradiol,Endogenous estrogen,-9,1e-9,3,2.553935837814182,105.73400083310389,1.3419432527795474
2,loris,Xanthonycticebus,beta,loris_beta,standard,estrogen,e2,Estradiol,Endogenous estrogen,-8,1e-8,1,50.363232433822226,2085.058669552608,26.462920074992535
2,loris,Xanthonycticebus,beta,loris_beta,standard,estrogen,e2,Estradiol,Endogenous estrogen,-8,1e-8,2,53.38948259069063,2210.346678699056,28.053036756509602
2,loris,Xanthonycticebus,beta,loris_beta,standard,estrogen,e2,Estradiol,Endogenous estrogen,-8,1e-8,3,52.77185539828755,2184.7766572798855,27.728509949176868
2,loris,Xanthonycticebus,beta,loris_beta,standard,estrogen,e2,Estradiol,Endogenous estrogen,-7,1e-7,1,183.2867480972011,7588.147238887831,96.30641901460291
2,loris,Xanthonycticebus,beta,loris_beta,standard,estrogen,e2,Estradiol,Endogenous estrogen,-7,1e-7,2,195.57779941613234,8097.001851111708,102.7646444495549
2,loris,Xanthonycticebus,beta,loris_beta,standard,estrogen,e2,Estradiol,Endogenous estrogen,-7,1e-7,3,195.56394433769356,8096.428245129326,102.75736441974664
