date,receptor,species,dose_type,dose,treatment,assay,value_1,value_2,value_3
8/4/22,esr1,human,extract_mg_ml,0.5,High Fiber,luciferase,11118,11675,11418
8/4/22,esr1,human,extract_mg_ml,1,High Fiber,luciferase,15900,16970,16007
8/4/22,esr1,human,extract_mg_ml,2,High Fiber,luciferase,21511,19029,20184
8/4/22,esr1,human,extract_mg_ml,0.2,LS Ban,b_gal,0.9768,0.8602,0.9188
8/4/22,esr1,human,extract_mg_ml,0.5,LS Ban,b_gal,0.9665,0.981,0.9255
8/4/22,esr1,human,extract_mg_ml,1,LS Ban,b_gal,0.8678,0.8455,0.7997
8/4/22,esr1,human,extract_mg_ml,2,LS Ban,b_gal,0.823,0.8121,0.8045
8/4/22,esr1,human,extract_mg_ml,0.2,High Fiber,b_gal,0.9034,0.8777,0.8736
8/4/22,esr1,human,extract_mg_ml,0.5,High Fiber,b_gal,0.8437,0.917,0.902
8/4/22,esr1,human,extract_mg_ml,1,High Fiber,b_gal,0.8949,0.9969,0.98
8/4/22,esr1,human,extract_mg_ml,2,High Fiber,b_gal,0.8865,0.8622,0.8712
8/4/22,esr1,human,extract_mg_ml,0.2,Insect,luciferase,5656,5784,5503
8/4/22,esr1,human,extract_mg_ml,0.5,Insect,luciferase,9452,9168,8898
8/4/22,esr1,human,extract_mg_ml,1,Insect,luciferase,12278,11738,12019
8/4/22,esr1,human,extract_mg_ml,2,Insect,luciferase,16538,16358,16808
8/4/22,esr1,human,extract_mg_ml,0.2,Leafeater,luciferase,7233,7256,6399
8/4/22,esr1,human,extract_mg_ml,0.5,Leafeater,luciferase,10666,9321,9873
8/4/22,esr1,human,extract_mg_ml,1,Leafeater,luciferase,13392,12650,13227
8/4/22,esr1,human,extract_mg_ml,2,Leafeater,luciferase,17733,18554,18434
8/4/22,esr1,human,extract_mg_ml,0.2,Insect,b_gal,0.9353,0.9773,0.9154
8/4/22,esr1,human,extract_mg_ml,0.5,Insect,b_gal,1.0047,0.9596,0.9558
8/4/22,esr1,human,extract_mg_ml,1,Insect,b_gal,0.8497,0.8709,0.9114
8/4/22,esr1,human,extract_mg_ml,2,Insect,b_gal,0.8738,0.8874,0.9408
8/4/22,esr1,human,extract_mg_ml,0.2,Leafeater,b_gal,0.9967,1.0073,1.038
8/4/22,esr1,human,extract_mg_ml,0.5,Leafeater,b_gal,0.9566,0.909,0.9958
8/4/22,esr1,human,extract_mg_ml,1,Leafeater,b_gal,0.8644,0.8647,0.8897
8/4/22,esr1,human,extract_mg_ml,2,Leafeater,b_gal,0.7984,0.8511,0.9266
8/4/22,esr2,human,control,,Control,luciferase,181,141,141
8/4/22,esr2,human,vehicle,,Veh MeOH,luciferase,161,169,144
8/4/22,esr2,human,molar_M,1.00E-11,E2,luciferase,329,322,296
8/4/22,esr2,human,molar_M,1.00E-10,E2,luciferase,3390,3399,2980
8/4/22,esr2,human,molar_M,1.00E-09,E2,luciferase,7566,9120,8126
8/4/22,esr2,human,molar_M,1.00E-08,E2,luciferase,8994,9917,8835
8/4/22,esr2,human,molar_M,1.00E-07,E2,luciferase,9089,10431,10113
8/4/22,esr2,human,molar_M,1.00E-06,E2,luciferase,9245,8681,8148
8/4/22,esr2,human,control,,Control,b_gal,1.1298,1.2058,1.1209
8/4/22,esr2,human,vehicle,,Veh MeOH,b_gal,1.3167,1.2859,1.1886
8/4/22,esr2,human,molar_M,1.00E-11,E2,b_gal,1.2402,1.2736,1.2283
8/4/22,esr2,human,molar_M,1.00E-10,E2,b_gal,1.3081,1.2562,1.2022
8/4/22,esr2,human,molar_M,1.00E-09,E2,b_gal,1.2624,1.2524,1.1122
8/4/22,esr2,human,molar_M,1.00E-08,E2,b_gal,1.2769,1.2215,1.1881
8/4/22,esr2,human,molar_M,1.00E-07,E2,b_gal,1.2566,1.2942,1.263
8/4/22,esr2,human,molar_M,1.00E-06,E2,b_gal,1.2972,1.2102,1.1953
8/4/22,esr2,human,extract_mg_ml,0.2,LS Cin,luciferase,3727,4068,3526
8/4/22,esr2,human,extract_mg_ml,0.5,LS Cin,luciferase,6606,6001,6291
8/4/22,esr2,human,extract_mg_ml,1,LS Cin,luciferase,7241,7594,7897
8/4/22,esr2,human,extract_mg_ml,2,LS Cin,luciferase,9131,8155,8366
8/4/22,esr2,human,extract_mg_ml,0.2,Browse Biscuit,luciferase,6106,5991,5182
