"Taxa"	"kubo14"	"kubo15"	"kubo21"	"kubo30"	"kubo48"	"kubo58"
"Starch (Amylopectin, Amylose, 1,4-alpha-D-Glucan, Pullulan, Resistant starch, Glycogen) -- Macromolecule"	0.0121921856189121	0.0115795549587118	0.0166332090622311	0.0195630002781469	0.0125775050599158	0.0131794614484027
"Melibiose -- Consumption"	0.0107256211010178	0.010130638112403	0.0132593329846995	0.0173996353184782	0.00936486008931153	0.0079946479344372
"CO2 -- Production"	0.0348254350443253	0.00499464018564983	0.0033232679363687	0.00411039342337052	0.00348571979310566	0.00299381167419301
"Ethanol -- Production"	0.0329210900733282	0.00405225524496119	0.00428482261846522	0.0083135024878697	0.000867414142063161	0.00183977253721358
"Niacin (Vitamin B3, Nicotinic acid, Nicotinate, Nicotinamide, Vitamin B3) -- Consumption"	0.0243187041698588	0.00287427406910038	0.00237858263465983	0.00151435547176809	1.60632248530215e-05	0.0120086971065396
"Fructan (Inulin, Levan) -- Macromolecule"	0.00310824121702966	0.00252087971634213	0.00585367499451745	0.00339957350805081	0.00502778937899573	0.00817862518815855
"Mucin (Mucus Glycoprotein) -- Macromolecule"	0.00328335339827077	0.00254443933985935	0.00588741375529277	0.00321414222579349	0.00496353647958364	0.0081618999832748
"Butyrate -- Production"	0.0102002845572945	0.00590168569106266	0.0010121628232595	0.00203974410483049	0.00502778937899573	0.00137146680046831
"Mannan -- Macromolecule"	0.00210134617489329	0.00134289854048132	0.00556689552792726	0.00265784837902154	0.00481896745590645	0.00727546412443552
"H2 (Hydrogen) -- Production"	0.00275801685454744	0.00230884310468719	0.00229423573272154	0.00686095744352072	0.0038873004144312	0.00393042314768356
