| GRTS Cell Id,SITE_ID,SPARCS,BAT_ID,BAT_SP,AGE,SEX,REPRO_STAT,RFA_MM,MASS_G,NET_HT,SAMPLE,WING_SCORE,BAND,BAND_COLOR,BAND_NUMBR,BAND_ID,BAND_ARM,PIT_TAG,RADIO_FREQ,CAP_TIME,COMMENTS,SITE,LAT,LONG,ACCURACY,MONTH,DAY,YEAR,DATE,START_TIME,STOP_TIME,PROJECT,SITE_NAME,STATE,COUNTY,TYPE,EFFORT,HABITAT,SURVEYOR,PERMIT_NUM,EMAIL,S_COMMENTS,EFFORT_HRS,STATUS,FILE_NAME
636,,,,Nycticeius humeralis,Adult,Male,Non-Reproductive,33.5,7.3,,,,,,,,,,,,,,,,,,,,6/10/2005,0:00,0:00,,,North Carolina,,,,,,,,,,,
636,,,,Perimyotis subflavus,Adult,Male,Non-Reproductive,33,4.7,,,,,,,,,,,,,,,,,,,,6/10/2005,0:00,0:00,,,North Carolina,,,,,,,,,,,
636,,,,Lasiurus borealis,Adult,Female,Post Lactating,45.2,16,,,,,,,,,,,,,,,,,,,,7/20/2005,0:00,0:00,,,North Carolina,,,,,,,,,,,
636,,,,Lasiurus borealis,Adult,Female,Lactating,,12.75,,,,,,,,,,,20:48,Escape.,,,,,,,,6/23/2014,20:30,1:45,,,North Carolina,,,,,,,,,,,
636,,,,Eptesicus fuscus,Adult,Female,Lactating,,,,,0,,,,,,,,21:10,,,,,,,,,6/22/2015,,,,,North Carolina,,,,,,,,,,,
636,,,,Eptesicus fuscus,Adult,Male,Non-Reproductive,,,,,0,,,,,,,,21:30,,,,,,,,,6/22/2015,,,,,North Carolina,,,,,,,,,,,
636,,,,Lasiurus borealis,Adult,Female,Lactating,,,,,0,,,,,,,,21:30,,,,,,,,,6/22/2015,,,,,North Carolina,,,,,,,,,,,
636,,,,Lasiurus borealis,Juvenile,Female,Non-Reproductive,42,11,,,0,,,NCWRC4390,,,,,1:40,,,,,,,,,7/31/2017,20:15,1:45,,,North Carolina,,,,,,,,,,,
636,,,,Lasiurus borealis,Juvenile,Male,Scrotal,38,8.5,,,0,,,NCWRC4392,,,,,23:18,,,,,,,,,7/31/2017,20:15,1:45,,,North Carolina,,,,,,,,,,,
636,,,,Lasiurus borealis,Juvenile,Female,Non-Reproductive,43,13,,,0,,,NCWRC4395,,,,,23:15,,,,,,,,,7/31/2017,20:15,1:45,,,North Carolina,,,,,,,,,,,
