"identifier"	"subject"	"rel_biscuit"	"rel_HDZ_oatgel"	"rel_invertebrates"	"rel_protein_rotate"	"rel_gum_arabic"	"rel_seasonal_veggies"	"biscuit"	"gum_arabic"	"invertebrates"	"protein_rotate"	"seasonal_veggies"	"HDZ_oatgel"
"HDZ-199-S86"	"warble"	13200	0	10000	2100	12000	15000	13200	12000	10000	2100	15000	0
"HDZ-235-S282"	"culi"	13200	5000	8000	2100	12000	20000	13200	12000	8000	2100	20000	5000
"HDZ-234-S281"	"warble"	13200	0	10000	2100	12000	15000	13200	12000	10000	2100	15000	0
"HDZ-198-S88"	"culi"	13200	5000	8000	2100	12000	20000	13200	12000	8000	2100	20000	5000
"HDZ-237-S305"	"warble"	13200	0	10000	2100	12000	15000	13200	12000	10000	2100	15000	0
"HDZ-326-S137"	"culi"	13200	5000	8000	2100	12000	20000	13200	12000	8000	2100	20000	5000
"HDZ-307-S116"	"warble"	13200	0	10000	2100	12000	15000	13200	12000	10000	2100	15000	0
"HDZ-330-S323"	"culi"	13200	5000	8000	2100	12000	20000	13200	12000	8000	2100	20000	5000
"HDZ-315-S127"	"warble"	13200	0	10000	2100	12000	15000	13200	12000	10000	2100	15000	0
"HDZ-318-S156"	"culi"	13200	5000	8000	2100	12000	20000	13200	12000	8000	2100	20000	5000
"HDZ-306-S115"	"warble"	13200	0	10000	2100	12000	15000	13200	12000	10000	2100	15000	0
"HDZ-336-S159"	"culi"	13200	5000	8000	2100	12000	20000	13200	12000	8000	2100	20000	5000
"HDZ-331-S324"	"warble"	13200	0	10000	2100	12000	15000	13200	12000	10000	2100	15000	0
"HDZ-317-S155"	"culi"	13200	5000	8000	2100	12000	20000	13200	12000	8000	2100	20000	5000
"HDZ-303-S112"	"warble"	13200	0	10000	2100	12000	15000	13200	12000	10000	2100	15000	0
"HDZ-312-S121"	"warble"	13200	0	10000	2100	12000	15000	13200	12000	10000	2100	15000	0
"HDZ-308-S117"	"culi"	13200	5000	8000	2100	12000	20000	13200	12000	8000	2100	20000	5000
"HDZ-304-S113"	"warble"	13200	0	10000	2100	12000	15000	13200	12000	10000	2100	15000	0
"HDZ-314-S126"	"culi"	13200	5000	8000	2100	12000	20000	13200	12000	8000	2100	20000	5000
"HDZ-313-S125"	"warble"	13200	0	10000	2100	12000	15000	13200	12000	10000	2100	15000	0
"HDZ-319-S157"	"culi"	13200	5000	8000	2100	12000	20000	13200	12000	8000	2100	20000	5000
"HDZ-324-S135"	"culi"	13200	5000	8000	2100	12000	20000	13200	12000	8000	2100	20000	5000
"HDZ-329-S315"	"warble"	13200	0	10000	2100	12000	15000	13200	12000	10000	2100	15000	0
"HDZ-305-S114"	"culi"	13200	5000	8000	2100	12000	20000	13200	12000	8000	2100	20000	5000
"HDZ-333-S169"	"warble"	13200	0	10000	2100	12000	15000	13200	12000	10000	2100	15000	0
"HDZ-310-S119"	"culi"	13200	5000	8000	2100	12000	20000	13200	12000	8000	2100	20000	5000
"HDZ-335-S257"	"warble"	13200	0	10000	2100	12000	15000	13200	12000	10000	2100	15000	0
"HDZ-320-S131"	"culi"	13200	5000	8000	2100	12000	20000	13200	12000	8000	2100	20000	5000
"HDZ-332-S168"	"warble"	13200	0	10000	2100	12000	15000	13200	12000	10000	2100	15000	0
"HDZ-301-S110"	"culi"	13200	5000	8000	2100	12000	20000	13200	12000	8000	2100	20000	5000
"HDZ-325-S136"	"warble"	13200	0	10000	2100	12000	15000	13200	12000	10000	2100	15000	0
"HDZ-241-S141"	"culi"	13200	5000	8000	2100	12000	20000	13200	12000	8000	2100	20000	5000
"HDZ-242-S142"	"warble"	13200	0	10000	2100	12000	15000	13200	12000	10000	2100	15000	0
"HDZ-328-S158"	"culi"	13200	5000	8000	2100	12000	20000	13200	12000	8000	2100	20000	5000
"HDZ-334-S325"	"warble"	13200	0	10000	2100	12000	15000	13200	12000	10000	2100	15000	0
"HDZ-327-S138"	"culi"	13200	5000	8000	2100	12000	20000	13200	12000	8000	2100	20000	5000
"HDZ-302-S111"	"warble"	13200	0	10000	2100	12000	15000	13200	12000	10000	2100	15000	0
"HDZ-243-S143"	"culi"	13200	5000	8000	2100	12000	20000	13200	12000	8000	2100	20000	5000
"HDZ-410-E1-S349"	"warble"	13200	0	10000	2100	12000	15000	13200	12000	10000	2100	15000	0
"HDZ-236-S283"	"culi"	13200	5000	8000	2100	12000	20000	13200	12000	8000	2100	20000	5000
"HDZ-244-S144"	"warble"	13200	0	10000	2100	12000	15000	13200	12000	10000	2100	15000	0
"HDZ-233-S280"	"culi"	13200	5000	8000	2100	12000	20000	13200	12000	8000	2100	20000	5000
"HDZ-232-S279"	"warble"	13200	0	10000	2100	12000	15000	13200	12000	10000	2100	15000	0
"HDZ-231-S278"	"culi"	13200	5000	8000	2100	12000	20000	13200	12000	8000	2100	20000	5000
"HDZ-309-S118"	"warble"	13200	0	10000	2100	12000	15000	13200	12000	10000	2100	15000	0
"HDZ-230-S277"	"culi"	13200	5000	8000	2100	12000	20000	13200	12000	8000	2100	20000	5000
"HDZ-222-S109"	"culi"	13200	5000	8000	2100	12000	20000	13200	12000	8000	2100	20000	5000
"HDZ-322-S133"	"culi"	13200	5000	8000	2100	12000	20000	13200	12000	8000	2100	20000	5000
"HDZ-389-S266"	"culi"	13200	5000	8000	2100	12000	20000	13200	12000	8000	2100	20000	5000
"HDZ-395-S272"	"culi"	13200	5000	8000	2100	12000	20000	13200	12000	8000	2100	20000	5000
"HDZ-400-S331"	"culi"	13200	5000	8000	2100	12000	20000	13200	12000	8000	2100	20000	5000
"HDZ-399-S330"	"warble"	13200	0	10000	2100	12000	15000	13200	12000	10000	2100	15000	0
"HDZ-398-S329"	"culi"	13200	5000	8000	2100	12000	20000	13200	12000	8000	2100	20000	5000
"HDZ-339-S252"	"culi"	13200	5000	8000	2100	12000	20000	13200	12000	8000	2100	20000	5000
"HDZ-373-S219"	"culi"	13200	5000	8000	2100	12000	20000	13200	12000	8000	2100	20000	5000
"HDZ-337-S160"	"warble"	13200	0	10000	2100	12000	15000	13200	12000	10000	2100	15000	0
"HDZ-342-S171"	"culi"	13200	5000	8000	2100	12000	20000	13200	12000	8000	2100	20000	5000
"HDZ-383-S260"	"culi"	13200	5000	8000	2100	12000	20000	13200	12000	8000	2100	20000	5000
