"identifier"	"subject"	"rel_omega3"	"rel_omega6"	"rel_fats_total"	"omega3"	"omega6"	"fats_total"
"HDZ-101-S57"	"warble"	635	3370	2000	635	3370	2000
"HDZ-097-S91"	"culi"	635	3370	2000	635	3370	2000
"HDZ-092-S237"	"warble"	635	3370	2000	635	3370	2000
"HDZ-088-S234"	"culi"	635	3370	2000	635	3370	2000
"HDZ-083-S39"	"warble"	635	3370	2000	635	3370	2000
"HDZ-108-S60"	"culi"	635	3370	2000	635	3370	2000
"HDZ-096-S95"	"warble"	635	3370	2000	635	3370	2000
"HDZ-091-S236"	"culi"	635	3370	2000	635	3370	2000
"HDZ-105-S97"	"warble"	635	3370	2000	635	3370	2000
"HDZ-087-S78"	"culi"	635	3370	2000	635	3370	2000
"HDZ-082-S41"	"warble"	635	3370	2000	635	3370	2000
"HDZ-086-S42"	"culi"	635	3370	2000	635	3370	2000
"HDZ-090-S235"	"warble"	635	3370	2000	635	3370	2000
"HDZ-081-S40"	"culi"	635	3370	2000	635	3370	2000
"HDZ-109-S240"	"warble"	635	3370	2000	635	3370	2000
"HDZ-085-S92"	"culi"	635	3370	2000	635	3370	2000
"HDZ-106-S83"	"warble"	635	3370	2000	635	3370	2000
"HDZ-080-E1"	"culi"	635	3370	2000	635	3370	2000
"HDZ-107-S55"	"warble"	635	3370	2000	635	3370	2000
"HDZ-190-S59"	"culi"	635	3370	2000	635	3370	2000
"HDZ-193-S70"	"warble"	635	3370	2000	635	3370	2000
"HDZ-192-S75"	"culi"	635	3370	2000	635	3370	2000
"HDZ-191-S56"	"warble"	635	3370	2000	635	3370	2000
"HDZ-264-S167"	"culi"	635	3370	2000	635	3370	2000
"HDZ-268-S308"	"warble"	635	3370	2000	635	3370	2000
"HDZ-263-S166"	"culi"	635	3370	2000	635	3370	2000
"HDZ-257-E1"	"warble"	635	3370	2000	635	3370	2000
"HDZ-258-S162"	"culi"	635	3370	2000	635	3370	2000
"HDZ-256-E1"	"culi"	635	3370	2000	635	3370	2000
"HDZ-259-S163"	"warble"	635	3370	2000	635	3370	2000
"HDZ-269-S309"	"culi"	635	3370	2000	635	3370	2000
"HDZ-274-S314"	"culi"	635	3370	2000	635	3370	2000
"HDZ-255-E1"	"warble"	635	3370	2000	635	3370	2000
"HDZ-245-S145"	"culi"	635	3370	2000	635	3370	2000
"HDZ-251-S151"	"warble"	635	3370	2000	635	3370	2000
"HDZ-253-S153"	"culi"	635	3370	2000	635	3370	2000
