"date"	"subject"	"bristol_min"	"bristol_max"	"bristol_mean"
2024-05-21	"warble"	1	1	1
2024-05-22	"culi"	3	3	3
2024-05-22	"warble"	1	1	1
2024-05-23	"culi"	3	6	4.5
2024-05-23	"warble"	1	1	1
2024-05-24	"culi"	3	4	3.5
2024-05-24	"warble"	1	1	1
2024-05-25	"culi"	3	4	3.5
2024-05-25	"warble"	1	1	1
2024-05-26	"culi"	3	6	4.5
2024-05-26	"warble"	1	1	1
2024-05-27	"culi"	3	5	4
2024-05-27	"warble"	1	1	1
2024-05-28	"culi"	3	6	4.5
2024-05-28	"warble"	1	1	1
2024-05-29	"culi"	3	3	3
2024-05-29	"warble"	1	1	1
2024-05-30	"culi"	0	0	0
2024-05-30	"warble"	1	1	1
2024-05-31	"culi"	3	6	4.5
2024-05-31	"warble"	1	1	1
2024-06-01	"culi"	3	4	3.5
2024-06-01	"warble"	1	1	1
2024-06-02	"culi"	NA	NA	NA
2024-06-02	"warble"	1	1	1
2024-06-03	"culi"	4	6	5
2024-06-03	"warble"	1	1	1
2024-06-04	"culi"	5	6	5.5
2024-06-04	"warble"	1	1	1
2024-06-05	"culi"	NA	NA	NA
2024-06-05	"warble"	1	1	1
2024-06-06	"culi"	NA	NA	NA
2024-06-06	"warble"	1	1	1
2024-06-07	"culi"	2	3	2.5
2024-06-07	"warble"	1	1	1
2024-06-08	"culi"	4	4	4
2024-06-08	"warble"	1	1	1
2024-06-09	"culi"	4	4	4
2024-06-09	"warble"	1	1	1
2024-06-10	"culi"	1	6	3.5
2024-06-10	"warble"	1	1	1
2024-06-11	"culi"	4	4	4
2024-06-11	"warble"	1	1	1
2024-06-12	"culi"	3	6	4.5
2024-06-12	"warble"	1	1	1
2024-06-13	"culi"	2	3	2.5
2024-06-13	"warble"	1	1	1
2024-06-14	"culi"	NA	NA	NA
2024-06-14	"warble"	1	1	1
2024-06-15	"culi"	2	6	4
2024-06-15	"warble"	1	1	1
2024-06-16	"culi"	2	6	4
2024-06-16	"warble"	1	1	1
2024-06-17	"culi"	3	5	4
2024-06-17	"warble"	1	1	1
2024-06-18	"culi"	3	4	3.5
2024-06-18	"warble"	1	1	1
2024-06-19	"culi"	3	6	4.5
2024-06-19	"warble"	1	1	1
2024-06-20	"culi"	6	6	6
2024-06-20	"warble"	1	1	1
2024-06-21	"culi"	3	6	4.5
2024-06-21	"warble"	1	1	1
2024-06-22	"culi"	6	6	6
2024-06-22	"warble"	1	1	1
2024-06-23	"culi"	6	6	6
2024-06-23	"warble"	1	1	1
2024-06-24	"culi"	5	6	5.5
2024-06-24	"warble"	1	1	1
2024-06-25	"culi"	3	5	4
2024-06-25	"warble"	1	1	1
2024-06-26	"culi"	3	6	4.5
2024-06-26	"warble"	1	1	1
2024-06-27	"culi"	2	3	2.5
2024-06-27	"warble"	1	1	1
2024-06-28	"culi"	4	4	4
