"subj_day"	"identifier"	"SampleID"	"ExtractID"	"SequenceID"
"warble_117"	"hdz-333-s169"	"hdz-333"	"hdz-333-e1"	"hdz-333-s169"
"culi_118"	"hdz-310-s119"	"hdz-310"	"hdz-310-e1"	"hdz-310-s119"
"warble_118"	"hdz-335-s257"	"hdz-335"	"hdz-335-e1"	"hdz-335-s257"
"culi_119"	"hdz-320-s131"	"hdz-320"	"hdz-320-e1"	"hdz-320-s131"
"warble_119"	"hdz-332-s168"	"hdz-332"	"hdz-332-e1"	"hdz-332-s168"
"culi_120"	"hdz-301-s110"	"hdz-301"	"hdz-301-e1"	"hdz-301-s110"
"warble_120"	"hdz-325-s136"	"hdz-325"	"hdz-325-e1"	"hdz-325-s136"
"culi_121"	"hdz-241-s141"	"hdz-241"	"hdz-241-e1"	"hdz-241-s141"
"warble_121"	"hdz-242-s142"	"hdz-242"	"hdz-242-e1"	"hdz-242-s142"
"culi_122"	"hdz-328-s158"	"hdz-328"	"hdz-328-e1"	"hdz-328-s158"
"warble_122"	"hdz-334-s325"	"hdz-334"	"hdz-334-e1"	"hdz-334-s325"
"culi_123"	"hdz-327-s138"	"hdz-327"	"hdz-327-e1"	"hdz-327-s138"
"warble_123"	"hdz-302-s111"	"hdz-302"	"hdz-302-e1"	"hdz-302-s111"
"culi_124"	"hdz-243-s143"	"hdz-243"	"hdz-243-e1"	"hdz-243-s143"
"warble_124"	"hdz-410-e1-s349"	"hdz-410"	"hdz-410-e1"	"hdz-410-e1-s349"
"culi_125"	"hdz-236-s283"	"hdz-236"	"hdz-236-e1"	"hdz-236-s283"
"warble_125"	"hdz-244-s144"	"hdz-244"	"hdz-244-e1"	"hdz-244-s144"
"culi_126"	"hdz-233-s280"	"hdz-233"	"hdz-233-e1"	"hdz-233-s280"
"warble_126"	"hdz-232-s279"	"hdz-232"	"hdz-232-e1"	"hdz-232-s279"
"culi_127"	"hdz-231-s278"	"hdz-231"	"hdz-231-e1"	"hdz-231-s278"
"warble_127"	"hdz-309-s118"	"hdz-309"	"hdz-309-e1"	"hdz-309-s118"
"culi_128"	"hdz-230-s277"	"hdz-230"	"hdz-230-e1"	"hdz-230-s277"
"culi_129"	"hdz-222-s109"	"hdz-222"	"hdz-222-e1"	"hdz-222-s109"
"culi_130"	"hdz-322-s133"	"hdz-322"	"hdz-322-e1"	"hdz-322-s133"
