"diet_name"	"nutrient_class"	"nutrient"	"fed"	"fed_unit"	"relative_fed"	"relative_unit"
"seasonals"	"Ash"	"iron"	4.92512	"mg"	173.08756	"mg_kg"
"seasonals"	"Ash"	"manganese"	1.45356	"mg"	51.08364	"mg_kg"
"seasonals"	"Ash"	"zinc"	2.44255	"mg"	85.84055	"mg_kg"
"seasonals"	"Ash"	"total"	1764.36233	"mg"	0.06201	"proportion"
"seasonals"	"vitamins"	"beta_carotene"	1.32197	"mg"	46.45908	"mg_kg"
"seasonals"	"vitamins"	"lycopene"	5e-05	"mg"	0.00176	"ug_kg"
"seasonals"	"vitamins"	"choline"	48.8966	"mg"	1718.41361	"mg_kg"
"seasonals"	"vitamins"	"folic_acid"	0.2426	"mg"	8.52589	"mg_kg"
"seasonals"	"vitamins"	"vit_B1_thiamin"	0.19914	"mg"	6.99854	"mg_kg"
"seasonals"	"vitamins"	"vit_B2_riboflavin"	0.30534	"mg"	10.73082	"mg_kg"
"seasonals"	"vitamins"	"vit_B3_niacin"	1.89955	"mg"	66.75745	"mg_kg"
"seasonals"	"vitamins"	"vit_B5_pantothenic_acid"	1.25365	"mg"	44.05806	"mg_kg"
"seasonals"	"vitamins"	"vit_B6_pyridoxine"	0.27178	"mg"	9.55139	"mg_kg"
"seasonals"	"vitamins"	"vit_B7_biotin"	0.00772	"mg"	0.27124	"mg_kg"
"seasonals"	"vitamins"	"vit_B12"	0.04525	"mg"	1.59025	"ug_kg"
"seasonals"	"vitamins"	"vit_C"	10.1506	"mg"	356.73092	"mg_kg"
"seasonals"	"vitamins"	"vit_A"	2694.5646	"mg"	94.69731	"IU_g"
"seasonals"	"vitamins"	"vit_D3"	122.896	"mg"	4.31904	"IU_g"
"seasonals"	"vitamins"	"vit_E"	5.1554	"mg"	181.18034	"mg_kg"
"seasonals"	"vitamins"	"vit_K"	0.05074	"mg"	1.78323	"mg_kg"
"seasonals"	"vitamins"	"total"	0	"mg"	0	"mg_kg"
"seasonals"	"total"	"total"	90	"kcal"	1	"proportion"
"seasonals"	"total"	"total"	61200	"mg"	1	"proportion"
"seasonals"	"total"	"total"	28454.5	"mg_dry"	1	"proportion"
"low_lectin"	"proteins"	"methionine"	198.55	"mg"	0.00666	"proportion"
"low_lectin"	"proteins"	"taurine"	0	"mg"	0	"proportion"
"low_lectin"	"proteins"	"total"	7375.20417	"mg"	0.24749	"proportion"
"low_lectin"	"fats"	"omega3"	634.49	"mg"	0.00508	"mg_g"
"low_lectin"	"fats"	"omega6"	3369.2	"mg"	0.01826	"mg_g"
"low_lectin"	"fats"	"total"	1018.84933	"mg"	0.03419	"proportion"
"low_lectin"	"CHOs"	"ADF"	681.28857	"mg"	0.02286	"proportion"
"low_lectin"	"CHOs"	"NDF"	9141.782	"mg"	0.30677	"proportion"
"low_lectin"	"CHOs"	"TDF"	874.2	"mg"	0.02934	"proportion"
"low_lectin"	"CHOs"	"WSC"	0	"mg"	0	"proportion"
"low_lectin"	"CHOs"	"crude_fiber"	15300	"mg"	0.51343	"proportion"
"low_lectin"	"CHOs"	"starch"	863.16667	"mg"	0.02897	"proportion"
"low_lectin"	"CHOs"	"total"	2485.5	"mg"	0.08341	"proportion"
"low_lectin"	"Ash"	"calcium"	254.7411	"mg"	0.00855	"proportion"
"low_lectin"	"Ash"	"magnesium"	50.2238	"mg"	0.00169	"proportion"
"low_lectin"	"Ash"	"phosphorus"	146.3536	"mg"	0.00491	"proportion"
"low_lectin"	"Ash"	"potassium"	366.38577	"mg"	0.01229	"proportion"
"low_lectin"	"Ash"	"copper"	0.1363	"mg"	4.57389	"mg_kg"
"low_lectin"	"Ash"	"iodine"	0.00014	"mg"	0.0047	"mg_kg"
"low_lectin"	"Ash"	"iron"	3.39732	"mg"	114.00498	"mg_kg"
"low_lectin"	"Ash"	"manganese"	0.30859	"mg"	10.3554	"mg_kg"
"low_lectin"	"Ash"	"zinc"	1.07555	"mg"	36.09249	"mg_kg"
"low_lectin"	"Ash"	"total"	1531.76108	"mg"	0.0514	"proportion"
"low_lectin"	"vitamins"	"beta_carotene"	1.5285	"mg"	51.29238	"mg_kg"
"low_lectin"	"vitamins"	"lycopene"	1e-04	"mg"	0.00336	"ug_kg"
"low_lectin"	"vitamins"	"choline"	27.825	"mg"	933.73267	"mg_kg"
"low_lectin"	"vitamins"	"folic_acid"	0.01125	"mg"	0.37752	"mg_kg"
"low_lectin"	"vitamins"	"vit_B1_thiamin"	0.043	"mg"	1.44297	"mg_kg"
"low_lectin"	"vitamins"	"vit_B2_riboflavin"	0.30765	"mg"	10.32391	"mg_kg"
"low_lectin"	"vitamins"	"vit_B3_niacin"	0.81165	"mg"	27.23681	"mg_kg"
"low_lectin"	"vitamins"	"vit_B5_pantothenic_acid"	0.53635	"mg"	17.99847	"mg_kg"
"low_lectin"	"vitamins"	"vit_B6_pyridoxine"	0.08041	"mg"	2.69834	"mg_kg"
"low_lectin"	"vitamins"	"vit_B7_biotin"	0.00613	"mg"	0.20571	"mg_kg"
"low_lectin"	"vitamins"	"vit_B12"	0.09992	"mg"	3.3532	"ug_kg"
"low_lectin"	"vitamins"	"vit_C"	2.784	"mg"	93.4236	"mg_kg"
"low_lectin"	"vitamins"	"vit_A"	2837.95	"mg"	95.23402	"IU_g"
"low_lectin"	"vitamins"	"vit_D3"	94.452	"mg"	3.16956	"IU_g"
"low_lectin"	"vitamins"	"vit_E"	4.39583	"mg"	147.51238	"mg_kg"
"low_lectin"	"vitamins"	"vit_K"	0.02413	"mg"	0.80957	"mg_kg"
"low_lectin"	"vitamins"	"total"	0	"mg"	0	"mg_kg"
"low_lectin"	"total"	"total"	93	"kcal"	1	"proportion"
"low_lectin"	"total"	"total"	65000	"mg"	1	"proportion"
"low_lectin"	"total"	"total"	29799.75	"mg_dry"	1	"proportion"
"gum36_veg37_invert27"	"proteins"	"methionine"	50.01429	"mg"	0.00156	"proportion"
"gum36_veg37_invert27"	"proteins"	"taurine"	0	"mg"	0	"proportion"
"gum36_veg37_invert27"	"proteins"	"total"	3747.0375	"mg"	0.11663	"proportion"
"gum36_veg37_invert27"	"fats"	"omega3"	634.49	"mg"	0.00665	"mg_g"
"gum36_veg37_invert27"	"fats"	"omega6"	3369.2	"mg"	0.0239	"mg_g"
"gum36_veg37_invert27"	"fats"	"total"	1016.60137	"mg"	0.03164	"proportion"
"gum36_veg37_invert27"	"CHOs"	"ADF"	711.17746	"mg"	0.02214	"proportion"
"gum36_veg37_invert27"	"CHOs"	"NDF"	12311.33756	"mg"	0.3832	"proportion"
"gum36_veg37_invert27"	"CHOs"	"TDF"	755.93913	"mg"	0.02353	"proportion"
"gum36_veg37_invert27"	"CHOs"	"WSC"	0	"mg"	0	"proportion"
"gum36_veg37_invert27"	"CHOs"	"crude_fiber"	21600	"mg"	0.51343	"proportion"
"gum36_veg37_invert27"	"CHOs"	"starch"	831.41667	"mg"	0.02588	"proportion"
"gum36_veg37_invert27"	"CHOs"	"total"	2059.23913	"mg"	0.0641	"proportion"
"gum36_veg37_invert27"	"Ash"	"calcium"	332.46719	"mg"	0.01035	"proportion"
"gum36_veg37_invert27"	"Ash"	"magnesium"	228.28999	"mg"	0.00711	"proportion"
"gum36_veg37_invert27"	"Ash"	"phosphorus"	143.93931	"mg"	0.00448	"proportion"
"gum36_veg37_invert27"	"Ash"	"potassium"	329.17668	"mg"	0.01025	"proportion"
"gum36_veg37_invert27"	"Ash"	"copper"	0.13316	"mg"	4.14484	"mg_kg"
"gum36_veg37_invert27"	"Ash"	"iodine"	0	"mg"	0	"mg_kg"
"gum36_veg37_invert27"	"Ash"	"iron"	3.6698	"mg"	114.22634	"mg_kg"
"gum36_veg37_invert27"	"Ash"	"manganese"	0.32665	"mg"	10.16727	"mg_kg"
"gum36_veg37_invert27"	"Ash"	"zinc"	1.09124	"mg"	33.96603	"mg_kg"
"gum36_veg37_invert27"	"Ash"	"total"	1647.6457	"mg"	0.05128	"proportion"
"gum36_veg37_invert27"	"vitamins"	"beta_carotene"	0.30174	"mg"	9.39192	"mg_kg"
"gum36_veg37_invert27"	"vitamins"	"lycopene"	0.03214	"mg"	1.00031	"ug_kg"
"gum36_veg37_invert27"	"vitamins"	"choline"	28.27528	"mg"	880.09808	"mg_kg"
"gum36_veg37_invert27"	"vitamins"	"folic_acid"	0.01125	"mg"	0.35017	"mg_kg"
"gum36_veg37_invert27"	"vitamins"	"vit_B1_thiamin"	0.04498	"mg"	1.40008	"mg_kg"
"gum36_veg37_invert27"	"vitamins"	"vit_B2_riboflavin"	0.19895	"mg"	6.1926	"mg_kg"
"gum36_veg37_invert27"	"vitamins"	"vit_B3_niacin"	0.79862	"mg"	24.85802	"mg_kg"
"gum36_veg37_invert27"	"vitamins"	"vit_B5_pantothenic_acid"	0.44874	"mg"	13.96738	"mg_kg"
"gum36_veg37_invert27"	"vitamins"	"vit_B6_pyridoxine"	0.08094	"mg"	2.51945	"mg_kg"
"gum36_veg37_invert27"	"vitamins"	"vit_B7_biotin"	0.00603	"mg"	0.18769	"mg_kg"
"gum36_veg37_invert27"	"vitamins"	"vit_B12"	0.0999	"mg"	3.10949	"ug_kg"
"gum36_veg37_invert27"	"vitamins"	"vit_C"	7.03945	"mg"	219.11051	"mg_kg"
"gum36_veg37_invert27"	"vitamins"	"vit_A"	596.7381	"mg"	18.57411	"IU_g"
"gum36_veg37_invert27"	"vitamins"	"vit_D3"	133.344	"mg"	4.15047	"IU_g"
"gum36_veg37_invert27"	"vitamins"	"vit_E"	5.68865	"mg"	177.06542	"mg_kg"
"gum36_veg37_invert27"	"vitamins"	"vit_K"	0.02617	"mg"	0.81465	"mg_kg"
"gum36_veg37_invert27"	"vitamins"	"total"	0	"mg"	0	"mg_kg"
"gum36_veg37_invert27"	"total"	"total"	87	"kcal"	1	"proportion"
"gum36_veg37_invert27"	"total"	"total"	67000	"mg"	1	"proportion"
"gum36_veg37_invert27"	"total"	"total"	32127.41667	"mg_dry"	1	"proportion"
"water31_root31_protein19_gum19"	"proteins"	"methionine"	70.49786	"mg"	0.00234	"proportion"
"water31_root31_protein19_gum19"	"proteins"	"taurine"	0	"mg"	0	"proportion"
"water31_root31_protein19_gum19"	"proteins"	"total"	3765.82986	"mg"	0.12496	"proportion"
"water31_root31_protein19_gum19"	"fats"	"omega3"	634.49	"mg"	0.00532	"mg_g"
"water31_root31_protein19_gum19"	"fats"	"omega6"	3369.2	"mg"	0.01911	"mg_g"
"water31_root31_protein19_gum19"	"fats"	"total"	1655.85244	"mg"	0.05494	"proportion"
"water31_root31_protein19_gum19"	"CHOs"	"ADF"	798.50338	"mg"	0.0265	"proportion"
"water31_root31_protein19_gum19"	"CHOs"	"NDF"	9657.06145	"mg"	0.32044	"proportion"
"water31_root31_protein19_gum19"	"CHOs"	"TDF"	1408.35	"mg"	0.04673	"proportion"
"water31_root31_protein19_gum19"	"CHOs"	"WSC"	0	"mg"	0	"proportion"
"water31_root31_protein19_gum19"	"CHOs"	"crude_fiber"	16200	"mg"	0.53755	"proportion"
"water31_root31_protein19_gum19"	"CHOs"	"starch"	2619.25263	"mg"	0.08691	"proportion"
