"ID"	"hdz.013"	"hdz.014"	"hdz.021"	"hdz.011"	"hdz.010"	"hdz.016"	"hdz.026"	"hdz.024"	"hdz.020"	"hdz.035"	"hdz.040"	"hdz.047"	"hdz.054"	"hdz.069"	"hdz.064"	"hdz.063"	"hdz.057"	"hdz.071"	"hdz.065"	"hdz.187"	"hdz.184"	"hdz.181"	"hdz.180"	"hdz.167"	"hdz.060"	"hdz.174"	"hdz.163"	"hdz.098"	"hdz.102"	"hdz.097"	"hdz.087"	"hdz.085"	"hdz.192"	"hdz.264"	"hdz.258"	"hdz.274"	"hdz.252"	"hdz.249"	"hdz.240"	"hdz.272"	"hdz.250"	"hdz.270"	"hdz.273"	"hdz.262"	"hdz.271"	"hdz.203"	"hdz.266"	"hdz.394"	"hdz.196"	"hdz.235"	"hdz.198"	"hdz.326"	"hdz.330"	"hdz.318"	"hdz.317"	"hdz.308"	"hdz.314"	"hdz.319"	"hdz.324"	"hdz.305"	"hdz.310"	"hdz.320"	"hdz.301"	"hdz.241"	"hdz.327"	"hdz.236"	"hdz.230"	"hdz.222"	"hdz.398"	"hdz.339"	"hdz.321"	"hdz.221"	"hdz.408"	"hdz.219"	"hdz.220"	"hdz.392"	"hdz.229"	"hdz.405"	"hdz.350"	"hdz.224"	"hdz.215"	"hdz.227"	"hdz.226"	"hdz.388"	"hdz.352"	"hdz.354"	"hdz.361"	"hdz.452"	"hdz.426"	"hdz.442"	"hdz.445"	"hdz.311"
"txid158847"	33	61	37	54	95	63	41	59	45	37	130	37	111	116	42	127	129	107	67	60	59	138	39	99	97	94	131	80	38	194	163	173	87	113	81	125	60	119	81	169	181	157	190	198	118	161	109	89	182	60	57	79	97	85	146	62	23	121	103	37	67	73	83	142	48	50	65	46	68	149	153	204	19	21	100	58	181	87	132	60	123	140	81	96	115	69	45	0	64	57	29	51
"txid491921"	16	40	38	46	107	70	40	45	43	42	84	43	116	137	127	165	126	152	97	70	43	83	47	113	110	67	86	93	108	139	63	56	25	352	27	19	217	336	27	31	33	20	21	21	19	23	10	25	25	15	6	13	8	14	21	8	5	32	12	8	8	18	20	16	9	13	18	4	11	22	20	14	19	34	19	3	9	9	18	7	9	25	16	32	168	201	72	1	119	129	82	10
"txid308994"	569	490	660	609	637	411	383	383	547	249	183	87	75	77	454	96	28	95	11	21	28	15	15	37	11	32	8	17	271	60	33	15	108	106	20	21	519	465	70	28	58	20	17	23	15	51	21	71	111	159	42	232	51	47	56	14	15	107	22	51	14	19	15	55	39	47	37	58	39	155	246	246	924	755	405	840	200	339	74	40	113	268	111	62	329	301	488	211	602	700	560	36
"txid1064535"	17	33	5	27	20	25	20	8	23	25	20	38	31	46	36	22	42	29	18	24	20	18	13	44	28	31	42	22	33	42	40	43	41	36	24	37	48	28	31	8	10	30	12	26	17	33	15	43	21	39	18	23	21	26	39	3	3	44	20	18	6	20	6	45	12	47	48	26	20	44	43	27	25	28	40	50	34	36	3	7	20	46	33	23	41	57	45	0	20	39	20	11
"txid879612"	12	13	5	21	14	16	12	9	19	25	14	26	34	28	32	19	19	23	21	16	14	11	13	28	23	24	24	25	17	44	30	39	31	32	21	24	47	36	36	7	10	20	13	25	19	33	13	34	17	24	18	24	18	22	32	5	3	33	15	16	6	9	10	36	8	37	39	26	16	42	28	18	19	29	28	29	19	31	2	4	15	37	33	18	23	36	42	0	14	31	12	8
"txid1232428"	972	1500	253	1660	1350	1416	1184	476	1448	1183	743	1422	1301	1496	2208	1481	1497	1188	1477	905	828	778	914	1616	1159	1305	1512	1147	2252	1611	1455	1535	1349	1531	970	1422	2045	1351	1442	370	521	1048	769	1088	800	1217	873	1961	696	1564	681	1531	987	1104	1488	255	193	1717	1090	1407	362	868	581	1537	570	1631	2045	1929	862	2451	2236	1094	1196	937	1286	1659	1675	1442	189	324	1492	2788	1773	1216	1520	2045	1960	3	823	1644	754	387
"txid349095"	3	7	1	3	6	6	5	0	6	0	5	9	10	10	10	9	10	9	7	8	9	4	3	11	4	8	11	6	13	8	9	11	8	10	4	13	20	12	18	0	3	14	7	4	7	10	0	35	4	15	4	12	11	8	9	0	0	10	4	5	3	3	2	15	2	9	13	5	7	18	10	8	10	5	7	21	9	14	0	1	3	14	9	14	10	16	19	0	5	8	5	0
"txid2144175"	38	61	12	72	51	51	45	17	56	60	47	78	85	77	95	67	79	85	48	80	43	54	61	95	97	63	88	74	94	153	101	124	114	94	53	76	113	71	89	21	27	51	27	46	47	54	36	103	54	94	43	70	35	83	83	13	9	91	48	81	18	49	40	95	35	88	86	81	44	150	117	84	69	74	108	78	77	66	10	16	81	115	85	60	74	143	113	1	41	88	42	16
"txid2045301"	0	0	0	1	1	0	0	0	0	2	2	2	1	0	1	2	3	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	2	0	0	2	2	3	0	1	1	0	1	1	0	1	3	0	2	0	1	2	3	3	0	0	0	2	0	0	0	0	4	1	0	2	1	0	5	0	0	2	0	0	4	1	0	0	0	0	0	1	0	0	4	3	0	0	0	0	1
"txid856"	0	0	1	0	0	0	0	0	0	0	1	0	0	0	5	1	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	1	0	14	0	39	0
