"Taxa"	"iris16"	"iris17"	"iris22"	"iris36"	"iris44"	"iris46"	"iris59"	"iris60"
"Lithocholic acid -- Production"	0.000802189978641692	0.000490669838673705	0.000245894081124556	0.000409106715486735	0.000802099208213496	0.000659587951526752	0.000190026332220322	0.00153868277250503
"1,2-Ethanediol (Ethylene glycol) -- Production"	0.000772107854442628	0.00046093227269348	0.000245894081124556	0.000184098021969031	0.000802099208213496	0.000659587951526752	0.000190026332220322	0.00153868277250503
"1,2-propanediol (Propene diol, Propylene glycol, [R]-1,2-propanediol, [R]-propane-1,2-diol, [S]-1,2-propanediol, [S]-propane-1,2-diol) -- Production"	0.000772107854442628	0.00046093227269348	0.000245894081124556	0.000184098021969031	0.000802099208213496	0.000659587951526752	0.000190026332220322	0.00153868277250503
"Arabinan -- Macromolecule"	0.000772107854442628	0.00046093227269348	0.000245894081124556	0.000184098021969031	0.000802099208213496	0.000659587951526752	0.000190026332220322	0.00153868277250503
"D-Lyxose (L-Lyxose) -- Consumption"	0.000772107854442628	0.00046093227269348	0.000245894081124556	0.000184098021969031	0.000802099208213496	0.000659587951526752	0.000190026332220322	0.00153868277250503
"L-Leucine (Leucine) -- Consumption"	0.000772107854442628	0.00046093227269348	0.000245894081124556	0.000184098021969031	0.000802099208213496	0.000659587951526752	0.000190026332220322	0.00153868277250503
"L-Phenylalanine (Phenylalanine, D-Phenylalanine) -- Consumption"	0.000772107854442628	0.00046093227269348	0.000245894081124556	0.000184098021969031	0.000802099208213496	0.000659587951526752	0.000190026332220322	0.00153868277250503
"L-Tyrosine (Tyrosine) -- Consumption"	0.000772107854442628	0.00046093227269348	0.000245894081124556	0.000184098021969031	0.000802099208213496	0.000659587951526752	0.000190026332220322	0.00153868277250503
"L-Valine (Valine, D-Valine) -- Consumption"	0.000772107854442628	0.00046093227269348	0.000245894081124556	0.000184098021969031	0.000802099208213496	0.000659587951526752	0.000190026332220322	0.00153868277250503
"Methanol -- Production"	0.000772107854442628	0.00046093227269348	0.000245894081124556	0.000184098021969031	0.000802099208213496	0.000659587951526752	0.000190026332220322	0.00153868277250503
"Phenylacetate -- Production"	0.000772107854442628	0.00046093227269348	0.000245894081124556	0.000184098021969031	0.000802099208213496	0.000659587951526752	0.000190026332220322	0.00153868277250503
"Pyruvate -- Production"	0.000772107854442628	0.00046093227269348	0.000245894081124556	0.000184098021969031	0.000802099208213496	0.000659587951526752	0.000190026332220322	0.00153868277250503
"Spermidine -- Production"	0.000772107854442628	0.00046093227269348	0.000245894081124556	0.000184098021969031	0.000802099208213496	0.000659587951526752	0.000190026332220322	0.00153868277250503
