seqrun	barcode	reads_unclassified	flow_cell_id	protocol_group_id	seq_id	seq_date	seq_start
hdz3	barcode05	2017	AUA949	HDZ-PL-003	PL003	2024-06-12	2024-06-12 20:06:58.563653
hdz3	barcode06	3451	AUA949	HDZ-PL-003	PL003	2024-06-12	2024-06-12 20:06:58.563653
hdz3	barcode07	2777	AUA949	HDZ-PL-003	PL003	2024-06-12	2024-06-12 20:06:58.563653
hdz3	barcode08	4318	AUA949	HDZ-PL-003	PL003	2024-06-12	2024-06-12 20:06:58.563653
hdz3	barcode09	4519	AUA949	HDZ-PL-003	PL003	2024-06-12	2024-06-12 20:06:58.563653
hdz3	barcode10	2218	AUA949	HDZ-PL-003	PL003	2024-06-12	2024-06-12 20:06:58.563653
hdz3	barcode11	17548	AUA949	HDZ-PL-003	PL003	2024-06-12	2024-06-12 20:06:58.563653
hdz3	barcode12	2278	AUA949	HDZ-PL-003	PL003	2024-06-12	2024-06-12 20:06:58.563653
hdz3	barcode13	2793	AUA949	HDZ-PL-003	PL003	2024-06-12	2024-06-12 20:06:58.563653
hdz3	barcode14	2548	AUA949	HDZ-PL-003	PL003	2024-06-12	2024-06-12 20:06:58.563653
hdz3	barcode15	2709	AUA949	HDZ-PL-003	PL003	2024-06-12	2024-06-12 20:06:58.563653
hdz3	barcode16	2389	AUA949	HDZ-PL-003	PL003	2024-06-12	2024-06-12 20:06:58.563653
hdz3	barcode17	4247	AUA949	HDZ-PL-003	PL003	2024-06-12	2024-06-12 20:06:58.563653
hdz3	barcode18	3800	AUA949	HDZ-PL-003	PL003	2024-06-12	2024-06-12 20:06:58.563653
hdz3	barcode19	2597	AUA949	HDZ-PL-003	PL003	2024-06-12	2024-06-12 20:06:58.563653
hdz3	barcode20	2656	AUA949	HDZ-PL-003	PL003	2024-06-12	2024-06-12 20:06:58.563653
hdz3	barcode21	2292	AUA949	HDZ-PL-003	PL003	2024-06-12	2024-06-12 20:06:58.563653
hdz3	barcode22	2566	AUA949	HDZ-PL-003	PL003	2024-06-12	2024-06-12 20:06:58.563653
hdz3	barcode23	2606	AUA949	HDZ-PL-003	PL003	2024-06-12	2024-06-12 20:06:58.563653
hdz3	barcode24	4	AUA949	HDZ-PL-003	PL003	2024-06-12	2024-06-12 20:06:58.563653
hdz4	barcode01	13588	AUD364	HDZ-PL-004	PL004	2024-06-13	2024-06-13 21:37:11.220383
hdz4	barcode02	9793	AUD364	HDZ-PL-004	PL004	2024-06-13	2024-06-13 21:37:11.220383
hdz4	barcode03	12417	AUD364	HDZ-PL-004	PL004	2024-06-13	2024-06-13 21:37:11.220383
hdz4	barcode04	11597	AUD364	HDZ-PL-004	PL004	2024-06-13	2024-06-13 21:37:11.220383
hdz4	barcode05	8877	AUD364	HDZ-PL-004	PL004	2024-06-13	2024-06-13 21:37:11.220383
hdz4	barcode06	14200	AUD364	HDZ-PL-004	PL004	2024-06-13	2024-06-13 21:37:11.220383
hdz4	barcode07	9965	AUD364	HDZ-PL-004	PL004	2024-06-13	2024-06-13 21:37:11.220383
hdz4	barcode08	10520	AUD364	HDZ-PL-004	PL004	2024-06-13	2024-06-13 21:37:11.220383
hdz4	barcode09	12171	AUD364	HDZ-PL-004	PL004	2024-06-13	2024-06-13 21:37:11.220383
hdz4	barcode10	7484	AUD364	HDZ-PL-004	PL004	2024-06-13	2024-06-13 21:37:11.220383
hdz4	barcode11	12381	AUD364	HDZ-PL-004	PL004	2024-06-13	2024-06-13 21:37:11.220383
hdz4	barcode12	13064	AUD364	HDZ-PL-004	PL004	2024-06-13	2024-06-13 21:37:11.220383
hdz4	barcode13	12286	AUD364	HDZ-PL-004	PL004	2024-06-13	2024-06-13 21:37:11.220383
hdz4	barcode14	11609	AUD364	HDZ-PL-004	PL004	2024-06-13	2024-06-13 21:37:11.220383
hdz4	barcode15	10808	AUD364	HDZ-PL-004	PL004	2024-06-13	2024-06-13 21:37:11.220383
hdz4	barcode16	11676	AUD364	HDZ-PL-004	PL004	2024-06-13	2024-06-13 21:37:11.220383
hdz4	barcode17	10716	AUD364	HDZ-PL-004	PL004	2024-06-13	2024-06-13 21:37:11.220383
hdz4	barcode18	9429	AUD364	HDZ-PL-004	PL004	2024-06-13	2024-06-13 21:37:11.220383
hdz4	barcode19	10181	AUD364	HDZ-PL-004	PL004	2024-06-13	2024-06-13 21:37:11.220383
hdz4	barcode20	7463	AUD364	HDZ-PL-004	PL004	2024-06-13	2024-06-13 21:37:11.220383
hdz4	barcode21	8526	AUD364	HDZ-PL-004	PL004	2024-06-13	2024-06-13 21:37:11.220383
hdz4	barcode22	14067	AUD364	HDZ-PL-004	PL004	2024-06-13	2024-06-13 21:37:11.220383
hdz4	barcode23	12744	AUD364	HDZ-PL-004	PL004	2024-06-13	2024-06-13 21:37:11.220383
hdz4	barcode24	6	AUD364	HDZ-PL-004	PL004	2024-06-13	2024-06-13 21:37:11.220383
hdz5	barcode01	10444	AVI712	HDZ-PL-005	PL005	2024-07-17	2024-07-17 17:41:40.26544
hdz5	barcode02	6858	AVI712	HDZ-PL-005	PL005	2024-07-17	2024-07-17 17:41:40.26544
hdz5	barcode03	11008	AVI712	HDZ-PL-005	PL005	2024-07-17	2024-07-17 17:41:40.26544
hdz5	barcode04	7546	AVI712	HDZ-PL-005	PL005	2024-07-17	2024-07-17 17:41:40.26544
hdz5	barcode05	4358	AVI712	HDZ-PL-005	PL005	2024-07-17	2024-07-17 17:41:40.26544
