"identifier"	"food"	"mg_fed"
"HDZ-184-S248"	"Invertebrates"	8000
"HDZ-184-S248"	"Protein Rotation"	2100
"HDZ-184-S248"	"Seasonal Veggie Rotation"	20000
"HDZ-183-S84"	"Biscuit"	13200
"HDZ-183-S84"	"Gum Arabic"	12000
"HDZ-183-S84"	"Invertebrates"	10000
"HDZ-183-S84"	"Protein Rotation"	2100
"HDZ-183-S84"	"Seasonal Veggie Rotation"	15000
"HDZ-182-S52"	"Oat Gel"	5000
"HDZ-182-S52"	"Biscuit"	13200
"HDZ-182-S52"	"Gum Arabic"	12000
"HDZ-182-S52"	"Invertebrates"	8000
"HDZ-182-S52"	"Protein Rotation"	2100
"HDZ-182-S52"	"Seasonal Veggie Rotation"	20000
"HDZ-176-S51"	"Oat Gel"	5000
"HDZ-176-S51"	"Biscuit"	13200
"HDZ-176-S51"	"Gum Arabic"	12000
"HDZ-176-S51"	"Invertebrates"	8000
"HDZ-176-S51"	"Protein Rotation"	2100
"HDZ-176-S51"	"Seasonal Veggie Rotation"	20000
"HDZ-185"	"Biscuit"	13200
"HDZ-185"	"Gum Arabic"	12000
"HDZ-185"	"Invertebrates"	10000
"HDZ-185"	"Protein Rotation"	2100
"HDZ-185"	"Seasonal Veggie Rotation"	15000
"HDZ-195-S201"	"Biscuit"	13200
"HDZ-195-S201"	"Gum Arabic"	12000
"HDZ-195-S201"	"Invertebrates"	10000
"HDZ-195-S201"	"Protein Rotation"	2100
"HDZ-195-S201"	"Seasonal Veggie Rotation"	15000
"HDZ-181-S74"	"Oat Gel"	5000
"HDZ-181-S74"	"Biscuit"	13200
"HDZ-181-S74"	"Gum Arabic"	12000
"HDZ-181-S74"	"Invertebrates"	8000
"HDZ-181-S74"	"Protein Rotation"	2100
"HDZ-181-S74"	"Seasonal Veggie Rotation"	20000
"HDZ-179-S98"	"Oat Gel"	5000
"HDZ-179-S98"	"Biscuit"	13200
"HDZ-179-S98"	"Gum Arabic"	12000
"HDZ-179-S98"	"Invertebrates"	8000
"HDZ-179-S98"	"Protein Rotation"	2100
"HDZ-179-S98"	"Seasonal Veggie Rotation"	20000
"HDZ-180-S99"	"Oat Gel"	5000
"HDZ-180-S99"	"Biscuit"	13200
"HDZ-180-S99"	"Gum Arabic"	12000
"HDZ-180-S99"	"Invertebrates"	8000
"HDZ-180-S99"	"Protein Rotation"	2100
"HDZ-180-S99"	"Seasonal Veggie Rotation"	20000
"HDZ-175-S61"	"Oat Gel"	5000
"HDZ-175-S61"	"Biscuit"	13200
"HDZ-175-S61"	"Gum Arabic"	12000
"HDZ-175-S61"	"Invertebrates"	8000
"HDZ-175-S61"	"Protein Rotation"	2100
"HDZ-175-S61"	"Seasonal Veggie Rotation"	20000
"HDZ-177-S47"	"Biscuit"	13200
"HDZ-177-S47"	"Gum Arabic"	12000
"HDZ-177-S47"	"Invertebrates"	10000
"HDZ-177-S47"	"Protein Rotation"	2100
"HDZ-177-S47"	"Seasonal Veggie Rotation"	15000
"HDZ-167-S198"	"Biscuit"	13200
"HDZ-167-S198"	"Gum Arabic"	12000
"HDZ-167-S198"	"Invertebrates"	10000
"HDZ-167-S198"	"Protein Rotation"	2100
"HDZ-167-S198"	"Seasonal Veggie Rotation"	15000
"HDZ-157-S241"	"Biscuit"	13200
"HDZ-157-S241"	"Gum Arabic"	12000
"HDZ-157-S241"	"Invertebrates"	10000
"HDZ-157-S241"	"Protein Rotation"	2100
"HDZ-157-S241"	"Seasonal Veggie Rotation"	15000
"HDZ-173-S246"	"Biscuit"	13200
"HDZ-173-S246"	"Gum Arabic"	12000
"HDZ-173-S246"	"Invertebrates"	10000
"HDZ-173-S246"	"Protein Rotation"	2100
"HDZ-173-S246"	"Seasonal Veggie Rotation"	15000
"HDZ-060-S80"	"Biscuit"	13200
"HDZ-060-S80"	"Gum Arabic"	12000
"HDZ-060-S80"	"Invertebrates"	10000
"HDZ-060-S80"	"Protein Rotation"	2100
"HDZ-060-S80"	"Seasonal Veggie Rotation"	15000
"HDZ-156-S68"	"Biscuit"	13200
"HDZ-156-S68"	"Gum Arabic"	12000
