alias	seqrun	collection	sampleID	subject	barcode	kit	reads_unclassified	flow_cell_id	protocol_group_id	seq_id	seq_date	seq_start	tech_replicates	ster_mgpml	ster_dose_ml	ster_npday	ster_mgpday	diet_trial	location	med_type	med_name	mgpml	dose_ml	dose_npday	mg_p_day	warble_cycle	access	culi_trial	bristol_min	bristol_max	bristol_mean	note_type	note_detail
hdz-067-s9	hdz1	2023-11-27	hdz-067	warble	barcode09	SQK-16S114-24	18771	FAX08980	hdz1	PL001	2024-05-16	2024-05-16 19:50:14.694401	1	0	0	0	0	baseline	old_enclosure	none	none	0	0	0	0	not_pregnant	separated	probiotic_oat	NA	NA	NA	none	none
hdz-072-s34	hdz2	2023-11-29	hdz-072	warble	barcode11	SQK-16S114-24	1376	AUD789	HDZ-PL-002	PL002	2024-06-10	2024-06-10 20:32:18.00607	1	0	0	0	0	baseline	old_enclosure	none	none	0	0	0	0	not_pregnant	separated	probiotic_oat	NA	NA	NA	none	none
hdz-066-s5	hdz1	2023-11-30	hdz-066	culi	barcode05	SQK-16S114-24	4860	FAX08980	hdz1	PL001	2024-05-16	2024-05-16 19:50:14.694401	1	0	0	0	0	probiotic_oat	old_enclosure	none	none	0	0	0	0	not_pregnant	separated	probiotic_oat	3	3	3	none	none
hdz-076-s24	hdz2	2023-12-01	hdz-076	culi	barcode01	SQK-16S114-24	1694	AUD789	HDZ-PL-002	PL002	2024-06-10	2024-06-10 20:32:18.00607	1	0	0	0	0	probiotic_oat	old_enclosure	none	none	0	0	0	0	not_pregnant	separated	probiotic_oat	3	3	3	none	none
hdz-071-s79	hdz4	2023-12-02	hdz-071	culi	barcode10	SQK-16S114-24	7484	AUD364	HDZ-PL-004	PL004	2024-06-13	2024-06-13 21:37:11.220383	1	0	0	0	0	probiotic_oat	old_enclosure	none	none	0	0	0	0	not_pregnant	separated	probiotic_oat	3	3	3	none	none
hdz-070-s29	hdz2	2023-12-02	hdz-070	warble	barcode06	SQK-16S114-24	1445	AUD789	HDZ-PL-002	PL002	2024-06-10	2024-06-10 20:32:18.00607	1	0	0	0	0	baseline	old_enclosure	none	none	0	0	0	0	not_pregnant	separated	probiotic_oat	NA	NA	NA	none	none
hdz-065-s4	hdz1	2023-12-03	hdz-065	culi	barcode04	SQK-16S114-24	15081	FAX08980	hdz1	PL001	2024-05-16	2024-05-16 19:50:14.694401	1	0	0	0	0	probiotic_oat	old_enclosure	none	none	0	0	0	0	not_pregnant	separated	probiotic_oat	3	6	4.5	none	none
hdz-188-s62	hdz3	2023-12-05	hdz-188	warble	barcode16	SQK-16S114-24	2389	AUA949	HDZ-PL-003	PL003	2024-06-12	2024-06-12 20:06:58.563653	1	0	0	0	0	baseline	old_enclosure	none	none	0	0	0	0	not_pregnant	separated	probiotic_oat	NA	NA	NA	none	none
hdz-187-s71	hdz4	2023-12-06	hdz-187	culi	barcode02	SQK-16S114-24	9793	AUD364	HDZ-PL-004	PL004	2024-06-13	2024-06-13 21:37:11.220383	1	0	0	0	0	probiotic_oat	old_enclosure	none	none	0	0	0	0	not_pregnant	separated	probiotic_oat	3	3	3	none	none
hdz-186-s73	hdz4	2023-12-06	hdz-186	warble	barcode04	SQK-16S114-24	11597	AUD364	HDZ-PL-004	PL004	2024-06-13	2024-06-13 21:37:11.220383	1	0	0	0	0	baseline	old_enclosure	none	none	0	0	0	0	not_pregnant	separated	probiotic_oat	NA	NA	NA	none	none
