"Taxa"	"charles41"	"charles46"	"charles49"	"charles50"	"charles51"	"charles55"	"charles57"
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Butyrivibrio|s__Butyrivibrio crossotus"	0.000143245953301819	0.000428755180791768	0	0.000142959256611866	0.000429184549356223	0.000142877553936277	0.000429184549356223
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae|g__Hungatella|s__Hungatella xylanolytica"	0	0.000571673574389024	0	0.000285918513223731	0.000858369098712446	0	0
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Shigella|s__Shigella flexneri"	0	0	0.000429861011606247	0.000714796283059328	0.000143061516452074	0.000285755107872553	0
"k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus oralis"	0	0.000142918393597256	0	0.000142959256611866	0.000715307582260372	0.000571510215745106	0
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Megasphaera|s__Megasphaera vaginalis"	0	0	0	0.00114367405289492	0.000286123032904149	0	0
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__Anaerotruncus|s__Anaerotruncus colihominis"	0.000429737859905458	0	0.000286574007737498	0.000142959256611866	0.000143061516452074	0.000285755107872553	0
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae|g__Clostridium|s__Clostridium transplantifaecale"	0	0.000142918393597256	0.000286574007737498	0.000285918513223731	0.000572246065808298	0	0
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Blautia|s__Blautia producta"	0.000143245953301819	0.000285836787194512	0.000143287003868749	0.000285918513223731	0.000286123032904149	0	0.000143061516452074
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Alloprevotella|s__Alloprevotella tannerae"	0	0.000142918393597256	0	0.000428877769835597	0.000429184549356223	0.000285755107872553	0
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Enterocloster|s__Enterocloster clostridioformis"	0	0.000571673574389024	0	0	0.000286123032904149	0.000285755107872553	0.000143061516452074
