task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
140	d3/cfb058	4097407	minimap_pipeline:output_results (66)	COMPLETED	0	2024-10-12 16:41:06.621	377ms	6ms	75.8%	0	0	71.2 KB	255 B
141	a9/7250bf	4097295	minimap_pipeline:output_results (67)	COMPLETED	0	2024-10-12 16:41:06.611	391ms	9ms	80.9%	0	0	71.2 KB	255 B
146	7e/43da3b	4097550	minimap_pipeline:output_results (71)	COMPLETED	0	2024-10-12 16:41:06.631	371ms	5ms	88.9%	0	0	71.2 KB	255 B
143	ac/95cd16	4097708	minimap_pipeline:output_results (69)	COMPLETED	0	2024-10-12 16:41:06.661	371ms	5ms	45.0%	0	0	71.2 KB	255 B
150	2c/3d933c	4098133	minimap_pipeline:output_results (73)	COMPLETED	0	2024-10-12 16:41:06.708	348ms	6ms	88.9%	0	0	71.2 KB	255 B
151	bd/9d9ec4	4097823	minimap_pipeline:output_results (74)	COMPLETED	0	2024-10-12 16:41:06.674	430ms	6ms	90.0%	0	0	71.2 KB	255 B
147	2a/fd1b75	4098227	minimap_pipeline:output_results (72)	COMPLETED	0	2024-10-12 16:41:06.724	380ms	6ms	86.7%	0	0	71.2 KB	255 B
149	3e/6c82aa	4098433	minimap_pipeline:createAbundanceTables	COMPLETED	0	2024-10-12 16:41:06.750	2.7s	2.3s	229.1%	74.4 MB	4.1 GB	11.8 MB	122 KB
55	c5/d8f331	4100410	minimap_pipeline:getAlignmentStats (hdz-269-s309)	COMPLETED	0	2024-10-12 16:41:09.506	2.8s	2.5s	189.2%	732.5 MB	1.9 GB	405 MB	7 MB
59	9a/d191b3	4100901	minimap_pipeline:getAlignmentStats (hdz-347-s318)	COMPLETED	0	2024-10-12 16:41:12.319	3.2s	2.9s	195.8%	648.3 MB	1.8 GB	402.3 MB	4.9 MB
63	42/ae58bc	4101394	minimap_pipeline:getAlignmentStats (hdz-172-s304)	COMPLETED	0	2024-10-12 16:41:15.588	2.6s	2.2s	193.3%	381.4 MB	1.5 GB	395.3 MB	3 MB
